company_id,year,previous_pattern,current_pattern
SUNPHARMA,Mar 2019,Shareholder Returns,Reinvestor
SUNPHARMA,Mar 2020,Reinvestor,Shareholder Returns
SUNPHARMA,Mar 2021,Shareholder Returns,Liquidating Assets
SUNPHARMA,Mar 2022,Liquidating Assets,Shareholder Returns
SUNPHARMA,Mar 2023,Shareholder Returns,Mixed
SUNPHARMA,Mar 2024,Mixed,Shareholder Returns
TATACONSUM,Mar 2014,Cash Accumulator,Reinvestor
TATACONSUM,Mar 2015,Reinvestor,Shareholder Returns
TATACONSUM,Mar 2016,Shareholder Returns,Liquidating Assets
TATACONSUM,Mar 2018,Liquidating Assets,Reinvestor
TATACONSUM,Mar 2019,Reinvestor,Liquidating Assets
TATACONSUM,Mar 2020,Liquidating Assets,Shareholder Returns
TATACONSUM,Mar 2024,Shareholder Returns,Mixed
TATAMOTORS,Mar 2015,Shareholder Returns,Mixed
TATAMOTORS,Mar 2016,Mixed,Shareholder Returns
TATAMOTORS,Mar 2017,Shareholder Returns,Mixed
TATAMOTORS,Mar 2022,Mixed,Reinvestor
TATAMOTORS,Mar 2023,Reinvestor,Shareholder Returns
TATAPOWER,Mar 2017,Shareholder Returns,Mixed
TATAPOWER,Mar 2018,Mixed,Shareholder Returns
TATAPOWER,Mar 2021,Shareholder Returns,Liquidating Assets
TATAPOWER,Mar 2022,Liquidating Assets,Shareholder Returns
TATAPOWER,Mar 2023,Shareholder Returns,Mixed
TATAPOWER,Mar 2024,Mixed,Shareholder Returns
TATASTEEL,Mar 2014,Reinvestor,Mixed
TATASTEEL,Mar 2015,Mixed,Reinvestor
TATASTEEL,Mar 2018,Reinvestor,Mixed
TATASTEEL,Mar 2019,Mixed,Shareholder Returns
TATASTEEL,Mar 2024,Shareholder Returns,Reinvestor
TCS,Mar 2018,Reinvestor,Liquidating Assets
TCS,Mar 2021,Liquidating Assets,Shareholder Returns
TCS,Mar 2023,Shareholder Returns,Liquidating Assets
TCS,Mar-13,Liquidating Assets,Reinvestor
TCS,Mar-18,Reinvestor,Liquidating Assets
TCS,Mar-21,Liquidating Assets,Reinvestor
TCS,Mar-23,Reinvestor,Liquidating Assets
TECHM,Mar 2014,Mixed,Liquidating Assets
TECHM,Mar 2015,Liquidating Assets,Reinvestor
TECHM,Mar 2016,Reinvestor,Shareholder Returns
TECHM,Mar 2018,Shareholder Returns,Reinvestor
TECHM,Mar 2019,Reinvestor,Shareholder Returns
TECHM,Mar 2020,Shareholder Returns,Liquidating Assets
TECHM,Mar 2021,Liquidating Assets,Shareholder Returns
TECHM,Mar 2022,Shareholder Returns,Liquidating Assets
TECHM,Mar 2023,Liquidating Assets,Shareholder Returns
TITAN,Mar 2014,Reinvestor,Growth Funded by Debt
TITAN,Mar 2015,Growth Funded by Debt,Reinvestor
TITAN,Mar 2017,Reinvestor,Shareholder Returns
TITAN,Mar 2018,Shareholder Returns,Other
TITAN,Mar 2019,Other,Reinvestor
TITAN,Mar 2020,Reinvestor,Other
TITAN,Mar 2021,Other,Shareholder Returns
TITAN,Mar 2022,Shareholder Returns,Other
TITAN,Mar 2023,Other,Mixed
TITAN,Mar 2024,Mixed,Reinvestor
TORNTPHARM,Mar 2016,Mixed,Shareholder Returns
TORNTPHARM,Mar 2018,Shareholder Returns,Mixed
TORNTPHARM,Mar 2019,Mixed,Shareholder Returns
TORNTPHARM,Mar 2020,Shareholder Returns,Liquidating Assets
TORNTPHARM,Mar 2021,Liquidating Assets,Shareholder Returns
TORNTPHARM,Mar 2023,Shareholder Returns,Mixed
TORNTPHARM,Mar 2024,Mixed,Shareholder Returns
TRENT,Mar 2014,Mixed,Pre-Revenue
TRENT,Mar 2015,Pre-Revenue,Growth Funded by Debt
TRENT,Mar 2016,Growth Funded by Debt,Shareholder Returns
TRENT,Mar 2018,Shareholder Returns,Reinvestor
TRENT,Mar 2019,Reinvestor,Mixed
TRENT,Mar 2021,Mixed,Liquidating Assets
TRENT,Mar 2023,Liquidating Assets,Shareholder Returns
TRENT,Mar 2024,Shareholder Returns,Reinvestor
TVSMOTOR,Mar 2015,Shareholder Returns,Mixed
TVSMOTOR,Mar 2016,Mixed,Shareholder Returns
TVSMOTOR,Mar 2018,Shareholder Returns,Mixed
TVSMOTOR,Mar 2019,Mixed,Growth Funded by Debt
TVSMOTOR,Mar 2020,Growth Funded by Debt,Mixed
TVSMOTOR,Mar 2022,Mixed,Growth Funded by Debt
ULTRACEMCO,Mar 2014,Mixed,Shareholder Returns
ULTRACEMCO,Mar 2018,Shareholder Returns,Liquidating Assets
ULTRACEMCO,Mar 2020,Liquidating Assets,Shareholder Returns
ULTRACEMCO,Mar 2022,Shareholder Returns,Liquidating Assets
ULTRACEMCO,Mar 2023,Liquidating Assets,Shareholder Returns
UNIONBANK,Mar 2014,Growth Funded by Debt,Mixed
UNIONBANK,Mar 2015,Mixed,Growth Funded by Debt
UNIONBANK,Mar 2016,Growth Funded by Debt,Reinvestor
UNIONBANK,Mar 2017,Reinvestor,Growth Funded by Debt
UNIONBANK,Mar 2018,Growth Funded by Debt,Mixed
UNIONBANK,Mar 2019,Mixed,Growth Funded by Debt
UNIONBANK,Mar 2021,Growth Funded by Debt,Shareholder Returns
UNIONBANK,Mar 2023,Shareholder Returns,Reinvestor
UNIONBANK,Mar 2024,Reinvestor,Shareholder Returns
UNITDSPR,Mar 2014,Reinvestor,Growth Funded by Debt
UNITDSPR,Mar 2015,Growth Funded by Debt,Other
UNITDSPR,Mar 2016,Other,Liquidating Assets
UNITDSPR,Mar 2017,Liquidating Assets,Shareholder Returns
UNITDSPR,Mar 2018,Shareholder Returns,Liquidating Assets
UNITDSPR,Mar 2019,Liquidating Assets,Shareholder Returns
UNITDSPR,Mar 2023,Shareholder Returns,Reinvestor
UNITDSPR,Mar 2024,Reinvestor,Liquidating Assets
VBL,Dec 2015,Mixed,Shareholder Returns
VBL,Dec 2016,Shareholder Returns,Mixed
VBL,Dec 2018,Mixed,Shareholder Returns
VBL,Dec 2019,Shareholder Returns,Mixed
VBL,Dec 2020,Mixed,Shareholder Returns
VBL,Dec 2023,Shareholder Returns,Mixed
VEDL,Mar 2014,Mixed,Shareholder Returns
VEDL,Mar 2015,Shareholder Returns,Reinvestor
VEDL,Mar 2017,Reinvestor,Liquidating Assets
VEDL,Mar 2019,Liquidating Assets,Shareholder Returns
VEDL,Mar 2020,Shareholder Returns,Reinvestor
VEDL,Mar 2021,Reinvestor,Shareholder Returns
WIPRO,Mar 2014,Shareholder Returns,Reinvestor
WIPRO,Mar 2017,Reinvestor,Shareholder Returns
WIPRO,Mar 2018,Shareholder Returns,Liquidating Assets
WIPRO,Mar 2022,Liquidating Assets,Mixed
WIPRO,Mar 2023,Mixed,Shareholder Returns
WIPRO,Mar 2024,Shareholder Returns,Liquidating Assets
ZOMATO,Mar 2021,Distress Signal,Growth Funded by Debt
ZOMATO,Mar 2023,Growth Funded by Debt,Other
ZOMATO,Mar 2024,Other,Shareholder Returns
ZYDUSLIFE,Mar 2014,Mixed,Shareholder Returns
ZYDUSLIFE,Mar 2015,Shareholder Returns,Reinvestor
ZYDUSLIFE,Mar 2017,Reinvestor,Mixed
ZYDUSLIFE,Mar 2020,Mixed,Shareholder Returns
ZYDUSLIFE,Mar 2022,Shareholder Returns,Reinvestor
ZYDUSLIFE,Mar 2023,Reinvestor,Liquidating Assets
ZYDUSLIFE,Mar 2024,Liquidating Assets,Reinvestor
